Training on 285 samples. Training 30000 steps.
2019-07-21 12:28:42 step:1460  loss:0.7471 l_f:0.7255 loss_0:0.8047 loss_1:0.7111 
2019-07-21 12:29:10 step:1480  loss:0.6886 l_f:0.5040 loss_0:0.7874 loss_1:0.7743 
2019-07-21 12:29:38 step:1500  loss:0.7505 l_f:0.6157 loss_0:0.8655 loss_1:0.7702 
2019-07-21 12:30:04 step:1520  loss:0.8551 l_f:0.8149 loss_0:0.9274 loss_1:0.8230 
2019-07-21 12:30:31 step:1540  loss:0.6858 l_f:0.5725 loss_0:0.7163 loss_1:0.7685 
2019-07-21 12:30:59 step:1560  loss:0.5245 l_f:0.4306 loss_0:0.4961 loss_1:0.6470 
2019-07-21 12:31:26 step:1580  loss:0.6275 l_f:0.5503 loss_0:0.6340 loss_1:0.6982 
2019-07-21 12:31:54 step:1600  loss:0.6340 l_f:0.4533 loss_0:0.6886 loss_1:0.7602 
2019-07-21 12:32:22 step:1620  loss:0.5633 l_f:0.4826 loss_0:0.5507 loss_1:0.6565 
2019-07-21 12:32:49 step:1640  loss:0.7511 l_f:0.5849 loss_0:0.8939 loss_1:0.7746 
2019-07-21 12:33:17 step:1660  loss:0.6373 l_f:0.4957 loss_0:0.6311 loss_1:0.7851 
2019-07-21 12:33:44 step:1680  loss:0.6451 l_f:0.5406 loss_0:0.6671 loss_1:0.7276 
2019-07-21 12:34:11 step:1700  loss:0.5318 l_f:0.4342 loss_0:0.5014 loss_1:0.6599 
2019-07-21 12:34:38 step:1720  loss:0.5431 l_f:0.4743 loss_0:0.5136 loss_1:0.6414 
2019-07-21 12:35:05 step:1740  loss:0.5169 l_f:0.4210 loss_0:0.4659 loss_1:0.6637 
2019-07-21 12:35:32 step:1760  loss:0.6127 l_f:0.4725 loss_0:0.6481 loss_1:0.7176 
2019-07-21 12:35:59 step:1780  loss:0.6804 l_f:0.5014 loss_0:0.7846 loss_1:0.7554 
2019-07-21 12:36:26 step:1800  loss:0.5739 l_f:0.4569 loss_0:0.5789 loss_1:0.6860 
2019-07-21 12:36:54 step:1820  loss:0.9421 l_f:0.9361 loss_0:0.9770 loss_1:0.9131 
2019-07-21 12:37:22 step:1840  loss:0.5390 l_f:0.4574 loss_0:0.4966 loss_1:0.6629 
2019-07-21 12:37:49 step:1860  loss:0.6143 l_f:0.5023 loss_0:0.6067 loss_1:0.7338 
2019-07-21 12:38:16 step:1880  loss:0.5182 l_f:0.4420 loss_0:0.4591 loss_1:0.6535 
2019-07-21 12:38:44 step:1900  loss:0.5736 l_f:0.4735 loss_0:0.5566 loss_1:0.6907 
2019-07-21 12:39:11 step:1920  loss:0.5653 l_f:0.4945 loss_0:0.4867 loss_1:0.7147 
2019-07-21 12:39:38 step:1940  loss:0.7213 l_f:0.5808 loss_0:0.7801 loss_1:0.8031 
2019-07-21 12:40:05 step:1960  loss:0.5478 l_f:0.4751 loss_0:0.5222 loss_1:0.6462 
2019-07-21 12:40:33 step:1980  loss:0.4850 l_f:0.4471 loss_0:0.4396 loss_1:0.5682 
2019-07-21 12:41:00 step:2000  loss:0.4874 l_f:0.4391 loss_0:0.4424 loss_1:0.5805 
2019-07-21 12:41:28 step:2020  loss:0.4644 l_f:0.4309 loss_0:0.4055 loss_1:0.5568 
2019-07-21 12:41:55 step:2040  loss:0.5922 l_f:0.4740 loss_0:0.6175 loss_1:0.6850 
2019-07-21 12:42:24 step:2060  loss:0.6247 l_f:0.5485 loss_0:0.6000 loss_1:0.7255 
2019-07-21 12:42:51 step:2080  loss:0.5457 l_f:0.4483 loss_0:0.5144 loss_1:0.6744 
2019-07-21 12:43:18 step:2100  loss:0.5310 l_f:0.4579 loss_0:0.4760 loss_1:0.6590 
2019-07-21 12:43:45 step:2120  loss:0.4933 l_f:0.4409 loss_0:0.4432 loss_1:0.5958 
2019-07-21 12:44:13 step:2140  loss:0.6882 l_f:0.7440 loss_0:0.6674 loss_1:0.6532 
2019-07-21 12:44:41 step:2160  loss:0.4591 l_f:0.4194 loss_0:0.3781 loss_1:0.5797 
2019-07-21 12:45:08 step:2180  loss:0.5733 l_f:0.4626 loss_0:0.5443 loss_1:0.7131 
2019-07-21 12:45:35 step:2200  loss:0.7149 l_f:0.8005 loss_0:0.6431 loss_1:0.7012 
2019-07-21 12:46:03 step:2220  loss:0.6127 l_f:0.5633 loss_0:0.5532 loss_1:0.7217 
2019-07-21 12:46:30 step:2240  loss:0.5866 l_f:0.5218 loss_0:0.5363 loss_1:0.7018 
2019-07-21 12:46:58 step:2260  loss:0.5643 l_f:0.5717 loss_0:0.5042 loss_1:0.6171 
2019-07-21 12:47:25 step:2280  loss:0.6146 l_f:0.5785 loss_0:0.5522 loss_1:0.7131 
2019-07-21 12:47:52 step:2300  loss:0.4471 l_f:0.3970 loss_0:0.3524 loss_1:0.5920 
2019-07-21 12:48:19 step:2320  loss:0.6564 l_f:0.5025 loss_0:0.7689 loss_1:0.6979 
2019-07-21 12:48:46 step:2340  loss:0.4577 l_f:0.4519 loss_0:0.3575 loss_1:0.5636 
2019-07-21 12:49:14 step:2360  loss:0.5970 l_f:0.5887 loss_0:0.5394 loss_1:0.6630 
2019-07-21 12:49:41 step:2380  loss:0.5913 l_f:0.5387 loss_0:0.5387 loss_1:0.6966 
2019-07-21 12:50:08 step:2400  loss:0.6775 l_f:0.5969 loss_0:0.6458 loss_1:0.7898 
2019-07-21 12:50:36 step:2420  loss:0.5144 l_f:0.5070 loss_0:0.4258 loss_1:0.6103 
